what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.6",1293911233843
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1293911233843
java.version,sysinfo,,,"1.6.0_21",1293911233843
java.vm.info,sysinfo,,,"mixed mode",1293911233843
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1293911233843
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1293911233843
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1293911233843
java.vm.specification.version,sysinfo,,,"1.0",1293911233843
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1293911233843
java.vm.version,sysinfo,,,"17.0-b17",1293911233843
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1293911234906
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293911235437
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293911235609
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293911235656
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293911237625
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1293911240421
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1293911240421
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293911241218
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.100.v201004202202,"org.eclipse.jst.common.project.facet.core",1293911251890
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.0.v201005191955,"org.eclipse.jst.ws.jaxrs.core",1293911251890
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293911252031
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1293911252187
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.300.v20100513-0845,"org.eclipse.jdt.apt.pluggable.core",1293911252187
started,bundle,org.eclipse.jpt.core,2.3.0.v201006020000,"org.eclipse.jpt.core",1293911252671
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1293911254140
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1293911254171
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1293911262250
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1293911262265
